🇨🇳电视频道,#genre#
cgtnen-高码,http://127.0.0.1/ysptp/cgtnen.m3u8
cgtnfr-高码,http://127.0.0.1/ysptp/cgtnfr.m3u8
cgtnru-高码,http://127.0.0.1/ysptp/cgtnru.m3u8
cgtnsp-高码,http://127.0.0.1/ysptp/cgtnsp.m3u8

💓咪咕直播,#genre#
咪视通-1,http://127.0.0.1/itv/3000000001000005308.m3u8?cdn=FifastbLive
咪视通-2,http://127.0.0.1/itv/3000000001000005969.m3u8?cdn=FifastbLive
咪视通-3,http://127.0.0.1/itv/3000000001000007218.m3u8?cdn=FifastbLive
咪视通-4,http://127.0.0.1/itv/3000000001000008001.m3u8?cdn=FifastbLive
咪视通-5,http://127.0.0.1/itv/3000000001000008176.m3u8?cdn=FifastbLive
咪视通-6,http://127.0.0.1/itv/3000000001000008379.m3u8?cdn=FifastbLive
咪视通-7,http://127.0.0.1/itv/3000000001000010129.m3u8?cdn=FifastbLive
咪视通-8,http://127.0.0.1/itv/3000000001000010948.m3u8?cdn=FifastbLive
咪视通-9,http://127.0.0.1/itv/3000000001000028638.m3u8?cdn=FifastbLive
咪视通-10,http://127.0.0.1/itv/3000000001000031494.m3u8?cdn=FifastbLive
咪视通-11,http://127.0.0.1/itv/3000000010000005837.m3u8?cdn=FifastbLive
咪视通-12,http://127.0.0.1/itv/3000000020000011518.m3u8?cdn=FifastbLive
咪视通-13,http://127.0.0.1/itv/3000000020000011519.m3u8?cdn=FifastbLive
咪视通-14,http://127.0.0.1/itv/3000000020000011520.m3u8?cdn=FifastbLive
咪视通-15,http://127.0.0.1/itv/3000000020000011521.m3u8?cdn=FifastbLive
咪视通-16,http://127.0.0.1/itv/3000000020000011522.m3u8?cdn=FifastbLive
咪视通-17,http://127.0.0.1/itv/3000000020000011523.m3u8?cdn=FifastbLive
咪视通-18,http://127.0.0.1/itv/3000000020000011524.m3u8?cdn=FifastbLive
咪视通-19,http://127.0.0.1/itv/3000000020000011525.m3u8?cdn=FifastbLive
咪视通-20,http://127.0.0.1/itv/3000000020000011528.m3u8?cdn=FifastbLive
咪视通-21,http://127.0.0.1/itv/3000000020000011529.m3u8?cdn=FifastbLive
咪视通-22,http://127.0.0.1/itv/3000000020000011530.m3u8?cdn=FifastbLive
咪视通-23,http://127.0.0.1/itv/3000000020000011531.m3u8?cdn=FifastbLive
咪视通-24,http://127.0.0.1/itv/3000000010000000097.m3u8?cdn=FifastbLive
咪视通-25,http://127.0.0.1/itv/3000000010000002019.m3u8?cdn=FifastbLive
咪视通-26,http://127.0.0.1/itv/3000000010000002809.m3u8?cdn=FifastbLive
咪视通-27,http://127.0.0.1/itv/3000000010000003915.m3u8?cdn=FifastbLive
咪视通-28,http://127.0.0.1/itv/3000000010000004193.m3u8?cdn=FifastbLive
咪视通-29,http://127.0.0.1/itv/3000000010000006077.m3u8?cdn=FifastbLive
咪视通-30,http://127.0.0.1/itv/3000000010000006658.m3u8?cdn=FifastbLive
咪视通-31,http://127.0.0.1/itv/3000000010000009788.m3u8?cdn=FifastbLive
咪视通-32,http://127.0.0.1/itv/3000000010000010833.m3u8?cdn=FifastbLive
咪视通-33,http://127.0.0.1/itv/3000000010000011297.m3u8?cdn=FifastbLive
咪视通-34,http://127.0.0.1/itv/3000000010000011518.m3u8?cdn=FifastbLive
咪视通-35,http://127.0.0.1/itv/3000000010000012558.m3u8?cdn=FifastbLive
咪视通-36,http://127.0.0.1/itv/3000000010000012616.m3u8?cdn=FifastbLive
咪视通-37,http://127.0.0.1/itv/3000000010000015470.m3u8?cdn=FifastbLive
咪视通-38,http://127.0.0.1/itv/3000000010000015560.m3u8?cdn=FifastbLive
咪视通-39,http://127.0.0.1/itv/3000000010000017678.m3u8?cdn=FifastbLive
咪视通-40,http://127.0.0.1/itv/3000000010000019839.m3u8?cdn=FifastbLive
咪视通-41,http://127.0.0.1/itv/3000000010000021904.m3u8?cdn=FifastbLive
咪视通-42,http://127.0.0.1/itv/3000000010000023434.m3u8?cdn=FifastbLive
咪视通-43,http://127.0.0.1/itv/3000000010000025380.m3u8?cdn=FifastbLive
咪视通-44,http://127.0.0.1/itv/3000000010000027691.m3u8?cdn=FifastbLive
咪视通-45,http://127.0.0.1/itv/3000000010000031669.m3u8?cdn=FifastbLive
湖南bblive-1,http://127.0.0.1/itv/2000000003000000060.m3u8?cdn=hnbblive
湖南bblive-2,http://127.0.0.1/itv/2000000003000000061.m3u8?cdn=hnbblive
湖南bblive-3,http://127.0.0.1/itv/2000000003000000062.m3u8?cdn=hnbblive
湖南bblive-4,http://127.0.0.1/itv/2000000003000000063.m3u8?cdn=hnbblive
湖南bblive-5,http://127.0.0.1/itv/2000000003000000064.m3u8?cdn=hnbblive
湖南bblive-6,http://127.0.0.1/itv/2000000003000000065.m3u8?cdn=hnbblive
易视腾-1,http://127.0.0.1/itv/1000000006000270001.m3u8?cdn=ystenlive
易视腾-2,http://127.0.0.1/itv/1000000006000270002.m3u8?cdn=ystenlive
易视腾-3,http://127.0.0.1/itv/1000000006000270003.m3u8?cdn=ystenlive
易视腾-4,http://127.0.0.1/itv/1000000006000270004.m3u8?cdn=ystenlive
易视腾-5,http://127.0.0.1/itv/1000000006000270005.m3u8?cdn=ystenlive
易视腾-6,http://127.0.0.1/itv/1000000006000270006.m3u8?cdn=ystenlive
